"scenario_id","residual_loss"
"sha256:ff2d3-r2j-00000","11772.517658248384"
"sha256:ff2d3-r2j-00001","28959.543193349702"
"sha256:ff2d3-r2j-00002","29950.351067290932"
"sha256:ff2d3-r2j-00003","5697.851506882722"
"sha256:ff2d3-r2j-00004","29950.351067290932"
"sha256:ff2d3-r2j-00005","29950.351067290932"
"sha256:ff2d3-r2j-00006","424.52851214700786"
"sha256:ff2d3-r2j-00007","2391.2454678919385"
"sha256:ff2d3-r2j-00008","12245.92655939584"
"sha256:ff2d3-r2j-00009","23971.878349866733"
"sha256:ff2d3-r2j-00010","29950.351067290932"
"sha256:ff2d3-r2j-00011","29950.351067290932"
"sha256:ff2d3-r2j-00012","25405.29397792612"
"sha256:ff2d3-r2j-00013","29950.351067290932"
"sha256:ff2d3-r2j-00014","29950.351067290932"
"sha256:ff2d3-r2j-00015","66269.62001530404"
"sha256:ff2d3-r2j-00016","-635.3469763219327"
"sha256:ff2d3-r2j-00017","29950.351067290932"
"sha256:ff2d3-r2j-00018","37039.88162965952"
"sha256:ff2d3-r2j-00019","25354.469232288604"
"sha256:ff2d3-r2j-00020","16684.004821383147"
"sha256:ff2d3-r2j-00021","29950.351067290932"
"sha256:ff2d3-r2j-00022","41595.034385429055"
"sha256:ff2d3-r2j-00023","20593.490768567903"
"sha256:ff2d3-r2j-00024","24114.403725802098"
"sha256:ff2d3-r2j-00025","27029.618676241545"
"sha256:ff2d3-r2j-00026","37356.754451363624"
"sha256:ff2d3-r2j-00027","29950.351067290932"
"sha256:ff2d3-r2j-00028","17224.068631856775"
"sha256:ff2d3-r2j-00029","7854.876310640961"
"sha256:ff2d3-r2j-00030","-818.0102058629418"
"sha256:ff2d3-r2j-00031","29950.351067290932"
"sha256:ff2d3-r2j-00032","30641.793795333535"
"sha256:ff2d3-r2j-00033","34358.82505021615"
"sha256:ff2d3-r2j-00034","31545.573565963226"
"sha256:ff2d3-r2j-00035","16287.201916616305"
"sha256:ff2d3-r2j-00036","38572.58248178354"
"sha256:ff2d3-r2j-00037","17225.319191353847"
"sha256:ff2d3-r2j-00038","32753.580273726897"
"sha256:ff2d3-r2j-00039","29950.351067290932"
"sha256:ff2d3-r2j-00040","19982.406548922212"
"sha256:ff2d3-r2j-00041","29950.351067290932"
"sha256:ff2d3-r2j-00042","33622.987570455414"
"sha256:ff2d3-r2j-00043","25038.12880521341"
"sha256:ff2d3-r2j-00044","29950.351067290932"
"sha256:ff2d3-r2j-00045","29950.351067290932"
"sha256:ff2d3-r2j-00046","29950.351067290932"
"sha256:ff2d3-r2j-00047","29950.351067290932"
"sha256:ff2d3-r2j-00048","34093.10063644472"
"sha256:ff2d3-r2j-00049","19151.372627999357"
"sha256:ff2d3-r2j-00050","46824.792601388035"
"sha256:ff2d3-r2j-00051","29950.351067290932"
"sha256:ff2d3-r2j-00052","6039.893104896026"
"sha256:ff2d3-r2j-00053","29214.369315963224"
"sha256:ff2d3-r2j-00054","29950.351067290932"
"sha256:ff2d3-r2j-00055","29950.351067290932"
"sha256:ff2d3-r2j-00056","-18089.791486014306"
"sha256:ff2d3-r2j-00057","29950.351067290932"
"sha256:ff2d3-r2j-00058","19985.17335600229"
"sha256:ff2d3-r2j-00059","29950.351067290932"
"sha256:ff2d3-r2j-00060","29009.94105580698"
"sha256:ff2d3-r2j-00061","29950.351067290932"
"sha256:ff2d3-r2j-00062","29950.351067290932"
"sha256:ff2d3-r2j-00063","41553.73519652963"
