"scenario_id","residual_loss"
"sha256:ff2d3-r2j-00000","11288.064725407603"
"sha256:ff2d3-r2j-00001","28088.811432319835"
"sha256:ff2d3-r2j-00002","29054.34022598095"
"sha256:ff2d3-r2j-00003","5553.661675515941"
"sha256:ff2d3-r2j-00004","29054.34022598095"
"sha256:ff2d3-r2j-00005","29054.34022598095"
"sha256:ff2d3-r2j-00006","398.4513076997828"
"sha256:ff2d3-r2j-00007","2208.6469608079933"
"sha256:ff2d3-r2j-00008","11805.245328776742"
"sha256:ff2d3-r2j-00009","23185.649165268136"
"sha256:ff2d3-r2j-00010","29054.34022598095"
"sha256:ff2d3-r2j-00011","29054.34022598095"
"sha256:ff2d3-r2j-00012","24589.62786847401"
"sha256:ff2d3-r2j-00013","29054.34022598095"
"sha256:ff2d3-r2j-00014","29054.34022598095"
"sha256:ff2d3-r2j-00015","64231.0231898119"
"sha256:ff2d3-r2j-00016","-799.5002417798969"
"sha256:ff2d3-r2j-00017","29054.34022598095"
"sha256:ff2d3-r2j-00018","35869.405464421274"
"sha256:ff2d3-r2j-00019","24567.047319540598"
"sha256:ff2d3-r2j-00020","16116.918742302136"
"sha256:ff2d3-r2j-00021","29054.34022598095"
"sha256:ff2d3-r2j-00022","40264.75109271832"
"sha256:ff2d3-r2j-00023","19762.340823764232"
"sha256:ff2d3-r2j-00024","23371.156857487687"
"sha256:ff2d3-r2j-00025","26067.92765660878"
"sha256:ff2d3-r2j-00026","36187.385655485734"
"sha256:ff2d3-r2j-00027","29054.34022598095"
"sha256:ff2d3-r2j-00028","16608.891897526744"
"sha256:ff2d3-r2j-00029","7438.810774724014"
"sha256:ff2d3-r2j-00030","-882.7872381666239"
"sha256:ff2d3-r2j-00031","29054.34022598095"
"sha256:ff2d3-r2j-00032","29699.686772154048"
"sha256:ff2d3-r2j-00033","33246.02928053455"
"sha256:ff2d3-r2j-00034","30704.608214665423"
"sha256:ff2d3-r2j-00035","15709.412672114757"
"sha256:ff2d3-r2j-00036","37410.42181642323"
"sha256:ff2d3-r2j-00037","16681.652156852913"
"sha256:ff2d3-r2j-00038","31556.33395753651"
"sha256:ff2d3-r2j-00039","29054.34022598095"
"sha256:ff2d3-r2j-00040","19417.29943370838"
"sha256:ff2d3-r2j-00041","29054.34022598095"
"sha256:ff2d3-r2j-00042","32660.896959782607"
"sha256:ff2d3-r2j-00043","24264.47870008259"
"sha256:ff2d3-r2j-00044","29054.34022598095"
"sha256:ff2d3-r2j-00045","29054.34022598095"
"sha256:ff2d3-r2j-00046","29054.34022598095"
"sha256:ff2d3-r2j-00047","29054.34022598095"
"sha256:ff2d3-r2j-00048","32965.65913218327"
"sha256:ff2d3-r2j-00049","18499.943672038455"
"sha256:ff2d3-r2j-00050","45333.75108619862"
"sha256:ff2d3-r2j-00051","29054.34022598095"
"sha256:ff2d3-r2j-00052","5834.612677475168"
"sha256:ff2d3-r2j-00053","28322.732350212304"
"sha256:ff2d3-r2j-00054","29054.34022598095"
"sha256:ff2d3-r2j-00055","29054.34022598095"
"sha256:ff2d3-r2j-00056","-17557.115833137315"
"sha256:ff2d3-r2j-00057","29054.34022598095"
"sha256:ff2d3-r2j-00058","19323.32844708729"
"sha256:ff2d3-r2j-00059","29054.34022598095"
"sha256:ff2d3-r2j-00060","28135.4657597826"
"sha256:ff2d3-r2j-00061","29054.34022598095"
"sha256:ff2d3-r2j-00062","29054.34022598095"
"sha256:ff2d3-r2j-00063","40390.58508458729"
"sha256:ff2d3-r2j-00064","25055.25517112637"
"sha256:ff2d3-r2j-00065","3580.4229845140508"
"sha256:ff2d3-r2j-00066","32598.777463932995"
"sha256:ff2d3-r2j-00067","66219.98028449841"
"sha256:ff2d3-r2j-00068","8586.89581575642"
"sha256:ff2d3-r2j-00069","49908.68905143299"
"sha256:ff2d3-r2j-00070","17175.918747366526"
"sha256:ff2d3-r2j-00071","-2685.6511942212965"
"sha256:ff2d3-r2j-00072","47914.977030095106"
"sha256:ff2d3-r2j-00073","53309.92740597401"
"sha256:ff2d3-r2j-00074","-3091.8696142316767"
"sha256:ff2d3-r2j-00075","28333.82294837246"
"sha256:ff2d3-r2j-00076","29829.775947526745"
"sha256:ff2d3-r2j-00077","12479.129908931161"
"sha256:ff2d3-r2j-00078","36400.456787191964"
"sha256:ff2d3-r2j-00079","59288.42870560398"
"sha256:ff2d3-r2j-00080","15794.489122429091"
"sha256:ff2d3-r2j-00081","29054.34022598095"
"sha256:ff2d3-r2j-00082","29079.282552526667"
"sha256:ff2d3-r2j-00083","29054.34022598095"
"sha256:ff2d3-r2j-00084","29054.34022598095"
"sha256:ff2d3-r2j-00085","-7209.319300202755"
"sha256:ff2d3-r2j-00086","24384.121274138073"
"sha256:ff2d3-r2j-00087","29054.34022598095"
"sha256:ff2d3-r2j-00088","29054.34022598095"
"sha256:ff2d3-r2j-00089","13376.38449161854"
"sha256:ff2d3-r2j-00090","16143.031304289441"
"sha256:ff2d3-r2j-00091","19007.939004557993"
"sha256:ff2d3-r2j-00092","20416.380653239634"
